label,sp_alloc_fifo,sp_alloc_filo
clang,4.0,44.0
clang,3.0,28.0
gcc,7.0,1.0
gcc,8.0,2.0
gcc,14.0,3.0
clang,2.0,34.0
clang,3.0,27.0
gcc,8.0,1.0
clang,2.0,1.0
clang,2.0,38.0
clang,2.0,49.0
gcc,4.0,1.0
gcc,7.0,3.0
gcc,23.0,0.0
clang,2.0,33.0
gcc,8.0,2.0
clang,2.0,85.0
gcc,196.0,9.0
clang,2.0,3.0
gcc,8.0,2.0
gcc,99.0,0.0
clang,2.0,60.0
gcc,9.0,1.0
gcc,83.0,0.0
clang,6.0,632.0
gcc,47.0,0.0
gcc,14.0,3.0
gcc,20.0,2.0
gcc,12.0,0.0
gcc,294.0,0.0
clang,3.0,24.0
gcc,5.0,0.0
clang,3.0,35.0
clang,1.0,514.0
gcc,30.0,1.0
gcc,76.0,0.0
gcc,95.0,0.0
clang,2.0,1.0
clang,6.0,28.0
clang,2.0,65.0
gcc,4.0,1.0
gcc,7.0,2.0
clang,12.0,49.0
gcc,23.0,1.0
clang,5.0,310.0
gcc,11.0,0.0
clang,2.0,3.0
gcc,30.0,2.0
clang,6.0,10.0
clang,3.0,3.0
clang,2.0,1470.0
clang,7.0,12.0
gcc,13.0,0.0
clang,4.0,33.0
gcc,2.0,0.0
gcc,3.0,1.0
gcc,133.0,0.0
clang,2.0,5.0
clang,3.0,31.0
clang,3.0,26.0
gcc,13.0,0.0
gcc,45.0,0.0
clang,2.0,545.0
gcc,76.0,0.0
gcc,4.0,0.0
clang,2.0,7.0
clang,6.0,25.0
clang,3.0,53.0
gcc,7.0,1.0
clang,4.0,31.0
gcc,9.0,1.0
gcc,26.0,1.0
clang,5.0,10.0
gcc,257.0,10.0
clang,6.0,10.0
gcc,11.0,0.0
clang,3.0,1.0
gcc,3.0,0.0
gcc,14.0,1.0
gcc,44.0,0.0
gcc,6.0,1.0
clang,3.0,24.0
clang,30.0,117.0
clang,6.0,219.0
clang,4.0,27.0
clang,4.0,93.0
clang,4.0,31.0
gcc,12.0,1.0
gcc,43.0,0.0
gcc,342.0,0.0
gcc,565.0,0.0
gcc,7.0,1.0
gcc,21.0,0.0
clang,5.0,16.0
gcc,13.0,2.0
clang,2.0,18.0
clang,3.0,21.0
clang,3.0,17.0
gcc,13.0,0.0
gcc,175.0,0.0
gcc,8.0,2.0
gcc,73.0,0.0
gcc,48.0,2.0
clang,2.0,6.0
clang,3.0,23.0
clang,6.0,34.0
gcc,294.0,0.0
gcc,8.0,1.0
clang,71.0,142.0
clang,5.0,11.0
clang,2.0,23.0
clang,6.0,22.0
gcc,30.0,0.0
clang,2.0,20.0
gcc,19.0,0.0
gcc,18.0,0.0
gcc,4.0,1.0
gcc,2.0,0.0
clang,3.0,27.0
gcc,8.0,2.0
gcc,18.0,0.0
clang,2.0,60.0
gcc,43.0,0.0
clang,2.0,3.0
clang,2.0,3.0
gcc,28.0,0.0
gcc,78.0,0.0
gcc,152.0,7.0
gcc,93.0,0.0
gcc,5.0,2.0
clang,3.0,51.0
gcc,38.0,4.0
clang,2.0,1.0
gcc,9.0,0.0
gcc,171.0,7.0
clang,2.0,57.0
clang,2.0,62.0
gcc,42.0,0.0
clang,2.0,79.0
clang,2.0,118.0
gcc,91.0,0.0
gcc,30.0,0.0
clang,3.0,16.0
gcc,26.0,3.0
gcc,5.0,2.0
gcc,2.0,0.0
clang,2.0,20.0
clang,2.0,54.0
gcc,2.0,0.0
gcc,6.0,2.0
gcc,7.0,1.0
clang,2.0,51.0
gcc,89.0,0.0
gcc,251.0,0.0
clang,6.0,10.0
clang,3.0,36.0
clang,2.0,55.0
gcc,91.0,0.0
gcc,17.0,0.0
gcc,223.0,0.0
gcc,74.0,0.0
clang,3.0,20.0
clang,2.0,315.0
gcc,228.0,9.0
clang,4.0,482.0
clang,2.0,60.0
clang,2.0,52.0
gcc,1354.0,0.0
gcc,9.0,2.0
gcc,17.0,1.0
clang,3.0,143.0
gcc,17.0,0.0
clang,5.0,11.0
clang,2.0,79.0
gcc,4.0,0.0
gcc,29.0,0.0
clang,2.0,28.0
gcc,16.0,1.0
clang,2.0,81.0
clang,5.0,32.0
clang,4.0,142.0
clang,2.0,16.0
gcc,12.0,0.0
clang,1.0,48.0
gcc,16.0,0.0
gcc,2.0,0.0
gcc,4.0,0.0
gcc,5.0,0.0
gcc,12.0,0.0
clang,2.0,47.0
gcc,3.0,0.0
gcc,12.0,3.0
clang,6.0,36.0
clang,3.0,36.0
clang,5.0,18.0
gcc,108.0,0.0
clang,6.0,10.0
gcc,69.0,0.0
clang,5.0,17.0
gcc,19.0,2.0
clang,4.0,34.0
clang,3.0,25.0
clang,2.0,1399.0
clang,3.0,52.0
clang,3.0,16.0
clang,2.0,6.0
gcc,1.0,1.0
clang,1.0,1.0
gcc,24.0,3.0
clang,2.0,39.0
clang,2.0,230.0
gcc,34.0,1.0
clang,2.0,73.0
clang,3.0,11.0
gcc,5.0,2.0
gcc,3.0,1.0
gcc,6.0,2.0
clang,3.0,3.0
clang,2.0,12.0
clang,4.0,499.0
clang,4.0,83.0
clang,2.0,10.0
gcc,34.0,1.0
gcc,12.0,2.0
gcc,11.0,2.0
gcc,11.0,2.0
gcc,7.0,0.0
clang,2.0,3.0
gcc,493.0,0.0
gcc,10.0,2.0
gcc,45.0,1.0
gcc,13.0,1.0
gcc,21.0,1.0
gcc,34.0,0.0
gcc,7.0,2.0
gcc,8.0,1.0
gcc,21.0,0.0
gcc,25.0,1.0
gcc,3.0,0.0
gcc,121.0,9.0
gcc,42.0,0.0
gcc,2.0,0.0
gcc,32.0,5.0
gcc,20.0,0.0
gcc,11.0,0.0
clang,2.0,259.0
clang,6.0,13.0
gcc,55.0,0.0
clang,3.0,32.0
clang,2.0,64.0
clang,4.0,47.0
gcc,18.0,0.0
clang,2.0,62.0
clang,3.0,17.0
clang,3.0,22.0
gcc,34.0,1.0
clang,2.0,310.0
clang,2.0,1.0
gcc,42.0,0.0
gcc,3.0,0.0
gcc,29.0,2.0
gcc,528.0,0.0
clang,2.0,64.0
gcc,20.0,3.0
gcc,75.0,0.0
gcc,39.0,0.0
clang,6.0,59.0
gcc,11.0,1.0
clang,7.0,41.0
clang,2.0,17.0
gcc,4.0,0.0
gcc,8.0,2.0
gcc,3.0,0.0
gcc,25.0,0.0
clang,2.0,3.0
clang,3.0,6.0
clang,3.0,38.0
gcc,11.0,0.0
gcc,13.0,0.0
gcc,183.0,12.0
clang,3.0,84.0
gcc,6.0,2.0
gcc,10.0,0.0
clang,25.0,467.0
gcc,95.0,0.0
gcc,62.0,5.0
gcc,1281.0,0.0
gcc,64.0,0.0
gcc,20.0,0.0
gcc,2.0,0.0
clang,4.0,16.0
gcc,180.0,0.0
clang,2.0,107.0
clang,3.0,19.0
clang,2.0,423.0
clang,5.0,14.0
gcc,2.0,0.0
clang,4.0,15.0
gcc,5.0,2.0
gcc,394.0,0.0
gcc,31.0,2.0
clang,3.0,23.0
gcc,249.0,0.0
clang,2.0,14.0
gcc,171.0,7.0
clang,3.0,21.0
gcc,183.0,0.0
clang,6.0,16.0
gcc,8.0,0.0
clang,2.0,30.0
gcc,8.0,1.0
clang,2.0,65.0
gcc,3.0,0.0
clang,1.0,77.0
clang,3.0,22.0
gcc,19.0,0.0
gcc,14.0,2.0
clang,4.0,589.0
gcc,80.0,6.0
clang,6.0,13.0
clang,4.0,86.0
clang,4.0,29.0
clang,2.0,1392.0
clang,5.0,28.0
clang,2.0,49.0
clang,2.0,57.0
gcc,27.0,1.0
gcc,86.0,0.0
clang,1.0,24.0
clang,2.0,13.0
clang,2.0,29.0
clang,6.0,10.0
clang,2.0,60.0
gcc,29.0,0.0
gcc,3.0,0.0
gcc,43.0,0.0
clang,2.0,77.0
clang,4.0,75.0
clang,3.0,35.0
gcc,38.0,6.0
clang,1.0,29.0
clang,3.0,488.0
gcc,3.0,0.0
gcc,214.0,0.0
clang,5.0,852.0
clang,1.0,37.0
clang,9.0,78.0
clang,2.0,187.0
gcc,13.0,0.0
gcc,75.0,0.0
gcc,32.0,1.0
gcc,13.0,2.0
clang,2.0,67.0
clang,7.0,729.0
gcc,7.0,1.0
gcc,22.0,0.0
gcc,9.0,2.0
gcc,25.0,0.0
clang,12.0,81.0
clang,2.0,54.0
clang,5.0,17.0
clang,4.0,103.0
gcc,8.0,0.0
clang,3.0,62.0
clang,2.0,57.0
clang,2.0,34.0
gcc,21.0,0.0
clang,2.0,100.0
gcc,140.0,0.0
gcc,27.0,0.0
clang,2.0,114.0
clang,2.0,13.0
gcc,30.0,0.0
clang,2.0,104.0
clang,3.0,24.0
clang,4.0,111.0
clang,2.0,189.0
gcc,9.0,0.0
clang,10.0,1084.0
clang,3.0,44.0
clang,3.0,22.0
clang,4.0,25.0
clang,2.0,179.0
clang,2.0,6.0
clang,2.0,60.0
clang,5.0,45.0
clang,1.0,513.0
clang,2.0,2.0
clang,7.0,15.0
clang,1.0,112.0
gcc,11.0,0.0
clang,2.0,10.0
gcc,7.0,1.0
gcc,15.0,0.0
gcc,2551.0,0.0
gcc,18.0,0.0
gcc,35.0,0.0
clang,5.0,145.0
gcc,11.0,0.0
clang,2.0,25.0
gcc,823.0,0.0
gcc,14.0,0.0
gcc,12.0,2.0
clang,2.0,7.0
clang,3.0,17.0
gcc,6.0,2.0
clang,6.0,10.0
clang,2.0,23.0
gcc,29.0,3.0
gcc,7.0,2.0
gcc,63.0,6.0
gcc,52.0,0.0
clang,3.0,23.0
gcc,8.0,1.0
gcc,5.0,0.0
clang,4.0,18.0
gcc,4.0,0.0
clang,4.0,16.0
gcc,172.0,0.0
gcc,5.0,2.0
gcc,22.0,0.0
clang,3.0,16.0
clang,4.0,15.0
gcc,30.0,0.0
clang,2.0,186.0
clang,4.0,21.0
clang,3.0,48.0
gcc,28.0,3.0
gcc,17.0,2.0
gcc,11.0,0.0
gcc,69.0,0.0
gcc,56.0,0.0
gcc,72.0,0.0
clang,9.0,1080.0
clang,25.0,446.0
gcc,3.0,0.0
gcc,61.0,0.0
gcc,56.0,0.0
clang,2.0,191.0
clang,2.0,61.0
gcc,30.0,0.0
clang,11.0,247.0
gcc,4.0,0.0
gcc,62.0,0.0
clang,6.0,11.0
gcc,23.0,0.0
clang,6.0,11.0
clang,2.0,23.0
gcc,2.0,0.0
clang,5.0,13.0
gcc,37.0,0.0
gcc,240.0,0.0
gcc,178.0,0.0
gcc,15.0,0.0
clang,3.0,507.0
clang,4.0,78.0
clang,3.0,33.0
clang,2.0,2091.0
gcc,5.0,0.0
gcc,5.0,2.0
clang,6.0,16.0
gcc,290.0,0.0
gcc,4.0,1.0
gcc,10.0,1.0
clang,5.0,18.0
clang,4.0,7.0
clang,3.0,18.0
gcc,131.0,10.0
clang,2.0,39.0
clang,3.0,43.0
gcc,16.0,0.0
clang,2.0,39.0
clang,3.0,25.0
clang,3.0,24.0
gcc,2.0,0.0
clang,4.0,46.0
gcc,75.0,0.0
gcc,20.0,2.0
clang,2.0,24.0
gcc,13.0,0.0
clang,7.0,39.0
gcc,7.0,3.0
gcc,10.0,1.0
gcc,31.0,0.0
clang,5.0,25.0
clang,4.0,43.0
clang,4.0,29.0
clang,3.0,25.0
gcc,15.0,2.0
clang,5.0,65.0
clang,8.0,606.0
clang,2.0,585.0
clang,2.0,5.0
clang,2.0,36.0
gcc,14.0,1.0
gcc,240.0,0.0
gcc,22.0,0.0
gcc,28.0,0.0
gcc,3.0,0.0
clang,6.0,41.0
clang,3.0,28.0
gcc,22.0,3.0
gcc,9.0,1.0
gcc,31.0,0.0
clang,5.0,16.0
gcc,23.0,0.0
clang,2.0,0.0
gcc,1.0,0.0
clang,5.0,58.0
clang,3.0,17.0
gcc,6.0,1.0
gcc,7.0,2.0
clang,2.0,80.0
gcc,217.0,0.0
gcc,275.0,0.0
gcc,159.0,7.0
gcc,34.0,2.0
gcc,18.0,2.0
clang,3.0,22.0
gcc,5.0,1.0
clang,4.0,28.0
gcc,5.0,0.0
gcc,13.0,0.0
clang,6.0,299.0
clang,3.0,29.0
gcc,4.0,0.0
clang,3.0,73.0
gcc,47.0,0.0
clang,2.0,183.0
gcc,344.0,0.0
gcc,35.0,0.0
gcc,11.0,1.0
gcc,6.0,2.0
gcc,10.0,2.0
gcc,201.0,0.0
clang,2.0,21.0
clang,2.0,54.0
gcc,104.0,1.0
gcc,7.0,2.0
clang,4.0,134.0
clang,4.0,45.0
clang,2.0,94.0
clang,2.0,0.0
gcc,11.0,3.0
gcc,43.0,0.0
clang,2.0,80.0
clang,2.0,55.0
clang,4.0,56.0
clang,4.0,80.0
gcc,44.0,0.0
gcc,2.0,0.0
gcc,43.0,0.0
clang,3.0,27.0
gcc,97.0,13.0
clang,2.0,249.0
clang,3.0,16.0
clang,5.0,10.0
gcc,51.0,0.0
clang,6.0,30.0
clang,3.0,22.0
gcc,11.0,0.0
gcc,16.0,1.0
clang,4.0,28.0
clang,2.0,50.0
clang,2.0,192.0
gcc,11.0,0.0
gcc,11.0,1.0
clang,25.0,964.0
clang,2.0,123.0
clang,2.0,161.0
gcc,14.0,2.0
gcc,46.0,0.0
gcc,12.0,2.0
clang,2.0,0.0
clang,2.0,23.0
clang,1.0,30.0
gcc,110.0,0.0
gcc,14.0,0.0
clang,2.0,51.0
clang,2.0,9.0
gcc,22.0,3.0
clang,4.0,46.0
clang,5.0,11.0
gcc,12.0,0.0
gcc,164.0,8.0
clang,2.0,90.0
gcc,6.0,1.0
clang,4.0,136.0
gcc,6.0,3.0
gcc,14.0,0.0
gcc,5.0,2.0
gcc,55.0,0.0
gcc,903.0,0.0
gcc,9.0,0.0
clang,3.0,23.0
clang,2.0,114.0
gcc,25.0,2.0
clang,6.0,150.0
gcc,49.0,0.0
gcc,8.0,2.0
clang,3.0,14.0
gcc,192.0,0.0
gcc,126.0,0.0
clang,3.0,2.0
gcc,26.0,3.0
gcc,89.0,0.0
gcc,27.0,2.0
clang,10.0,66.0
gcc,13.0,2.0
gcc,10.0,1.0
clang,1.0,20.0
clang,1.0,112.0
gcc,12.0,0.0
gcc,16.0,0.0
gcc,1291.0,0.0
clang,25.0,448.0
gcc,173.0,0.0
clang,6.0,2886.0
gcc,5.0,2.0
gcc,195.0,0.0
gcc,1716.0,0.0
gcc,25.0,2.0
gcc,19.0,1.0
clang,3.0,24.0
clang,2.0,53.0
gcc,12.0,2.0
clang,2.0,84.0
gcc,13.0,2.0
gcc,251.0,0.0
clang,2.0,77.0
gcc,3.0,1.0
clang,2.0,58.0
clang,8.0,31.0
clang,2.0,58.0
gcc,3.0,1.0
clang,5.0,10.0
gcc,195.0,7.0
clang,1.0,24.0
gcc,20.0,0.0
clang,1.0,1263.0
gcc,836.0,0.0
gcc,8.0,0.0
gcc,29.0,2.0
gcc,6.0,2.0
clang,4.0,43.0
clang,3.0,25.0
clang,2.0,9.0
gcc,6.0,2.0
gcc,8.0,0.0
clang,6.0,22.0
gcc,19.0,1.0
clang,3.0,119.0
gcc,14.0,0.0
clang,2.0,58.0
gcc,32.0,2.0
clang,2.0,110.0
gcc,8.0,1.0
clang,6.0,40.0
clang,6.0,10.0
gcc,9.0,0.0
gcc,43.0,0.0
clang,8.0,730.0
gcc,87.0,0.0
clang,9.0,49.0
clang,2.0,0.0
clang,1.0,30.0
