label,sp_alloc_fifo,sp_alloc_filo
clang,0.0,36.0
gcc,2.0,10.0
gcc,200.0,54.0
gcc,1312.0,1.0
clang,0.0,59.0
gcc,9.0,3.0
gcc,4.0,11.0
clang,0.0,26.0
clang,1.0,16.0
gcc,7.0,6.0
gcc,6.0,3.0
clang,0.0,64.0
gcc,2.0,1.0
clang,0.0,34.0
gcc,6.0,12.0
gcc,111.0,15.0
gcc,33.0,2.0
clang,0.0,12.0
clang,0.0,84.0
gcc,45.0,0.0
gcc,6.0,2.0
gcc,92.0,2.0
gcc,18.0,3.0
clang,0.0,2446.0
clang,0.0,29.0
gcc,24.0,11.0
gcc,120.0,2.0
clang,0.0,19.0
clang,0.0,83.0
clang,0.0,37.0
clang,0.0,72.0
clang,0.0,35.0
gcc,1.0,3.0
gcc,18.0,2.0
gcc,68.0,4.0
clang,0.0,101.0
gcc,18.0,2.0
gcc,6.0,1.0
clang,0.0,30.0
gcc,11.0,1.0
clang,1.0,133.0
gcc,8.0,13.0
gcc,16.0,10.0
gcc,18.0,8.0
gcc,72.0,1.0
clang,0.0,7.0
gcc,176.0,3.0
gcc,6.0,6.0
clang,0.0,35.0
gcc,40.0,3.0
clang,0.0,87.0
gcc,7.0,9.0
gcc,156.0,29.0
gcc,4.0,6.0
gcc,17.0,1.0
gcc,1.0,3.0
clang,0.0,342.0
gcc,27.0,0.0
gcc,1599.0,0.0
gcc,14.0,10.0
clang,0.0,21.0
gcc,128.0,2.0
clang,0.0,34.0
gcc,5.0,13.0
gcc,60.0,1.0
clang,0.0,38.0
gcc,11.0,1.0
clang,0.0,44.0
gcc,20.0,1.0
clang,0.0,45.0
clang,0.0,112.0
gcc,21.0,1.0
gcc,65.0,2.0
clang,0.0,15.0
gcc,5.0,11.0
gcc,106.0,2.0
gcc,22.0,2.0
clang,1.0,69.0
gcc,71.0,1.0
gcc,7.0,9.0
gcc,0.0,1.0
gcc,4.0,10.0
gcc,25.0,8.0
gcc,7.0,0.0
gcc,12.0,10.0
gcc,30.0,14.0
gcc,31.0,1.0
gcc,18.0,1.0
clang,0.0,65.0
gcc,13.0,12.0
gcc,94.0,2.0
gcc,210.0,2.0
gcc,8.0,3.0
clang,0.0,59.0
clang,0.0,23.0
clang,0.0,31.0
clang,0.0,19.0
clang,0.0,0.0
gcc,1647.0,1.0
gcc,118.0,2.0
gcc,8.0,9.0
clang,0.0,30.0
clang,0.0,4.0
gcc,77.0,1.0
gcc,17.0,1.0
clang,0.0,108.0
gcc,81.0,2.0
gcc,12.0,2.0
clang,0.0,1328.0
gcc,12.0,0.0
gcc,73.0,2.0
gcc,28.0,0.0
clang,0.0,0.0
clang,0.0,23.0
clang,0.0,152.0
clang,0.0,20.0
gcc,4.0,11.0
clang,0.0,78.0
clang,0.0,70.0
gcc,9.0,8.0
gcc,7.0,1.0
clang,0.0,68.0
gcc,7.0,6.0
clang,0.0,61.0
clang,0.0,59.0
clang,0.0,28.0
gcc,85.0,2.0
gcc,0.0,2.0
clang,0.0,33.0
gcc,3.0,2.0
gcc,9.0,9.0
gcc,4.0,6.0
gcc,40.0,2.0
clang,0.0,18.0
clang,0.0,42.0
gcc,46.0,1.0
gcc,88.0,2.0
clang,0.0,29.0
gcc,145.0,2.0
clang,0.0,78.0
clang,0.0,82.0
gcc,5.0,10.0
clang,0.0,28.0
clang,1.0,146.0
gcc,5.0,6.0
gcc,16.0,11.0
clang,0.0,112.0
gcc,3.0,1.0
clang,0.0,51.0
clang,0.0,86.0
gcc,130.0,1.0
clang,5.0,238.0
gcc,333.0,2.0
clang,0.0,32.0
gcc,103.0,1.0
clang,0.0,20.0
clang,0.0,81.0
gcc,21.0,12.0
clang,0.0,247.0
gcc,52.0,2.0
gcc,1.0,1.0
clang,1.0,32.0
gcc,28.0,8.0
gcc,2.0,2.0
gcc,27.0,1.0
gcc,17.0,7.0
gcc,6.0,7.0
clang,0.0,18.0
gcc,18.0,13.0
gcc,19.0,1.0
clang,0.0,76.0
clang,0.0,93.0
gcc,12.0,11.0
gcc,23.0,1.0
