label,nop_total,1B_R,2B_R,3B_R,4B_R,5B_R,6B_R,7B_R,8B_R,9B_R,10B_V,11B_V,12B_V,13B_V,14B_V,15B_V,OTHERS
clang,0.032818532818532815,0.07647058823529412,0.1,0.08235294117647059,0.15294117647058825,0.11764705882352941,0.06470588235294118,0.023529411764705882,0.041176470588235294,0.029411764705882353,0.31176470588235294,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.005442566599828129,0.05263157894736842,0.0,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.0,0.05263157894736842,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.0004507537906764565,0.2891566265060241,0.20481927710843373,0.3373493975903614,0.03614457831325301,0.03614457831325301,0.024096385542168676,0.012048192771084338,0.012048192771084338,0.0,0.04819277108433735,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.03878576985884425,0.07704177229141408,0.07285352143723134,0.12708034828612366,0.1384327124435137,0.11242147029648407,0.1159484183842169,0.11429516146809214,0.05731290642565855,0.058304860575333406,0.1263088283919321,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.029667094436476183,0.10687022900763359,0.09669211195928754,0.089058524173028,0.11195928753180662,0.10178117048346055,0.061068702290076333,0.035623409669211195,0.03816793893129771,0.05089058524173028,0.30788804071246817,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.005485640529202969,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.0,0.058823529411764705,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.03153037682645476,0.11382113821138211,0.056910569105691054,0.14634146341463414,0.10569105691056911,0.08943089430894309,0.04878048780487805,0.016260162601626018,0.08130081300813008,0.056910569105691054,0.2845528455284553,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.024370549805476035,0.09337349397590361,0.06626506024096386,0.09337349397590361,0.12951807228915663,0.10240963855421686,0.1355421686746988,0.10542168674698796,0.07228915662650602,0.0391566265060241,0.16265060240963855,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.0015283646498246875,0.058823529411764705,0.0,0.058823529411764705,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.0,0.058823529411764705,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.03795662100456621,0.09022556390977443,0.06015037593984962,0.08646616541353383,0.09398496240601503,0.12781954887218044,0.13157894736842105,0.10902255639097744,0.06766917293233082,0.05263157894736842,0.18045112781954886,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.01187363834422658,0.8532110091743119,0.009174311926605505,0.009174311926605505,0.027522935779816515,0.027522935779816515,0.01834862385321101,0.0,0.009174311926605505,0.0,0.045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.05890930300379119,0.08415841584158416,0.07920792079207921,0.10396039603960396,0.13366336633663367,0.10891089108910891,0.14356435643564355,0.06435643564356436,0.04950495049504951,0.04455445544554455,0.18811881188118812,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.00539997488383775,0.23255813953488372,0.20930232558139536,0.23255813953488372,0.06976744186046512,0.06976744186046512,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.0,0.09302325581395349,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.0059131610069268455,0.14285714285714285,0.2,0.2571428571428571,0.08571428571428572,0.08571428571428572,0.05714285714285714,0.0,0.05714285714285714,0.0,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.03826086956521739,0.07386363636363637,0.13068181818181818,0.09659090909090909,0.125,0.125,0.05113636363636364,0.017045454545454544,0.03977272727272727,0.028409090909090908,0.3125,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.024300441826215022,0.0946969696969697,0.07575757575757576,0.12878787878787878,0.09848484848484848,0.06439393939393939,0.0946969696969697,0.03787878787878788,0.07575757575757576,0.06439393939393939,0.26515151515151514,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.03590436766072484,0.07764705882352942,0.06352941176470588,0.11764705882352941,0.10823529411764705,0.12,0.11058823529411765,0.10823529411764705,0.07764705882352942,0.06588235294117648,0.15058823529411763,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.03836752045913487,0.08033240997229917,0.0886426592797784,0.0997229916897507,0.10803324099722991,0.12742382271468145,0.05817174515235457,0.008310249307479225,0.06371191135734072,0.036011080332409975,0.3296398891966759,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.05757135945815191,0.07563025210084033,0.07563025210084033,0.1092436974789916,0.13025210084033614,0.1134453781512605,0.13445378151260504,0.07142857142857142,0.06302521008403361,0.04201680672268908,0.18487394957983194,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.005649717514124294,0.05555555555555555,0.0,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.0,0.05555555555555555,0.05555555555555555,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.04158954817637452,0.07853403141361257,0.07329842931937172,0.17015706806282724,0.08376963350785341,0.07853403141361257,0.0549738219895288,0.05235602094240838,0.05235602094240838,0.07591623036649214,0.2801047120418848,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.023197492163009405,0.08445945945945946,0.09121621621621621,0.13513513513513514,0.10472972972972973,0.07094594594594594,0.06418918918918919,0.037162162162162164,0.057432432432432436,0.060810810810810814,0.2939189189189189,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.04497209760367655,0.0851581508515815,0.0948905109489051,0.14841849148418493,0.07542579075425791,0.0827250608272506,0.0681265206812652,0.0364963503649635,0.06326034063260341,0.058394160583941604,0.2871046228710462,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.04239276139410188,0.11857707509881422,0.05533596837944664,0.13438735177865613,0.08300395256916997,0.08695652173913043,0.07114624505928854,0.03557312252964427,0.05928853754940711,0.07509881422924901,0.28063241106719367,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.030206677265500796,0.06766917293233082,0.08270676691729323,0.09774436090225563,0.18045112781954886,0.11278195488721804,0.06766917293233082,0.007518796992481203,0.03759398496240601,0.022556390977443608,0.3233082706766917,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.01977409968398986,0.11008137432188066,0.09584086799276673,0.08838155515370705,0.09086799276672694,0.10623869801084991,0.04814647377938517,0.04814647377938517,0.048824593128390596,0.05560578661844485,0.3078661844484629,0.0,0.0,0.0,0.0,0.0,0.0
