label,nop_total,1B_R,2B_R,3B_R,4B_R,5B_R,6B_R,7B_R,8B_R,9B_R,10B_V,11B_V,12B_V,13B_V,14B_V,15B_V,OTHERS
gcc,0.03602984390720099,0.08155930329001936,0.06414155377384573,0.11390655239148466,0.11169477467514514,0.12137130218413049,0.15924799557644456,0.12303013547138512,0.05778269283936965,0.0588885816975394,0.10837710810063589,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.020066791334026474,0.10710362504577078,0.09117539362870743,0.0941047235444892,0.095020139143171,0.10454046136946174,0.05034785792749909,0.048700109849871845,0.049249359209080926,0.05254485536433541,0.3072134749176126,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.020606763052329738,0.10226442658875091,0.0902118334550767,0.09495982468955443,0.09222059897735574,0.10701241782322864,0.05241051862673484,0.048027757487216945,0.05423666910153396,0.04948867786705625,0.3091672753834916,0.0,0.0,0.0,0.0,0.0,0.0
gcc,8.076752222549139e-05,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.009958314034275127,0.3488372093023256,0.046511627906976744,0.023255813953488372,0.09302325581395349,0.06976744186046512,0.046511627906976744,0.09302325581395349,0.11627906976744186,0.046511627906976744,0.11627906976744186,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.019482168091782232,0.10425374969264814,0.0897467420703221,0.09171379395131547,0.0922055569215638,0.10769609048438653,0.05237275633144824,0.04819277108433735,0.04868453405458569,0.050897467420703224,0.31423653798868945,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.006985679357317499,0.1,0.15,0.05,0.15,0.15,0.1,0.0,0.05,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.031109781633263535,0.057692307692307696,0.07692307692307693,0.07692307692307693,0.08653846153846154,0.15384615384615385,0.0673076923076923,0.04807692307692308,0.07692307692307693,0.0673076923076923,0.28846153846153844,0.0,0.0,0.0,0.0,0.0,0.0
gcc,6.174663591096135e-05,0.14285714285714285,0.0,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.0,0.07142857142857142,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.02627210689181712,0.09223868954758191,0.09886895475819032,0.09594383775351015,0.09126365054602184,0.10491419656786272,0.051677067082683305,0.05089703588143526,0.060842433697347896,0.057917316692667704,0.2954368174726989,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.05400284225485552,0.09649122807017543,0.07456140350877193,0.11403508771929824,0.11403508771929824,0.11842105263157894,0.19298245614035087,0.07894736842105263,0.043859649122807015,0.07017543859649122,0.09649122807017543,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.00012030879256759014,0.1111111111111111,0.0,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.010093409641942374,0.11069277108433735,0.10052710843373494,0.09939759036144578,0.10466867469879518,0.08923192771084337,0.04932228915662651,0.0391566265060241,0.0598644578313253,0.053463855421686746,0.2936746987951807,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.01901859785121719,0.10256983240223463,0.09184357541899442,0.09229050279329609,0.09162011173184358,0.10905027932960894,0.05094972067039106,0.048491620111731845,0.050502793296089386,0.05027932960893855,0.3124022346368715,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.00047024465096709526,0.3026315789473684,0.18421052631578946,0.32894736842105265,0.05263157894736842,0.039473684210526314,0.02631578947368421,0.0,0.013157894736842105,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
