label,nop_total,1B_R,2B_R,3B_R,4B_R,5B_R,6B_R,7B_R,8B_R,9B_R,10B_V,11B_V,12B_V,13B_V,14B_V,15B_V,OTHERS
icc,0.010494732035881891,0.08930323846908735,0.03925417075564279,0.08701341184167484,0.08766764802093556,0.12103369316323193,0.038272816486751716,0.2741249591102388,0.15472685639515865,0.05920837422309454,0.012103369316323193,0.002944062806673209,0.0009813542688910696,0.007523716061498201,0.0009813542688910696,0.024860974811907098,0.0
gcc,0.04353994066051654,0.07726680320238317,0.071960528765593,0.12306832991994042,0.1350772668032024,0.11878607335691678,0.10668404393967604,0.11515546453174455,0.06395457084341835,0.05836901880469186,0.12967789983243344,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.020811824794199803,0.09996256083863722,0.09659303631598652,0.09135155372519656,0.09771621115687008,0.10614002246349681,0.04904530138524897,0.05035567203294646,0.05204043429427181,0.05709472107824785,0.2997004867090977,0.0,0.0,0.0,0.0,0.0,0.0
gcc,6.86404612638997e-05,0.08333333333333333,0.0,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.001003255965680029,0.8404907975460123,0.012269938650306749,0.006134969325153374,0.018404907975460124,0.018404907975460124,0.012269938650306749,0.024539877300613498,0.03067484662576687,0.012269938650306749,0.024539877300613498,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.0009224189738787718,0.8636363636363636,0.010101010101010102,0.005050505050505051,0.020202020202020204,0.015151515151515152,0.010101010101010102,0.020202020202020204,0.020202020202020204,0.010101010101010102,0.025252525252525252,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.020143000782035528,0.1035311517840636,0.1022370123867628,0.09188389720835645,0.09299315954889999,0.10038824181919023,0.04769828064337216,0.04991680532445923,0.052874838232575334,0.056017748197448695,0.3024588648548715,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.0009643149592725079,0.8547486033519553,0.0111731843575419,0.00558659217877095,0.01675977653631285,0.01675977653631285,0.0111731843575419,0.0223463687150838,0.027932960893854747,0.0111731843575419,0.0223463687150838,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.007045871559633028,0.9933712121212122,0.0,0.0,0.0014204545454545455,0.000946969696969697,0.0004734848484848485,0.0004734848484848485,0.0004734848484848485,0.0004734848484848485,0.0023674242424242425,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.04581495141143012,0.05330116253564378,0.048036850186444394,0.09190611976310595,0.08400965123930687,0.0851063829787234,0.1079184031585874,0.09453827593770564,0.33209037069532793,0.04759815749067778,0.055494626014476856,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.0503160762308346,0.04627487274409996,0.040953262378528456,0.0948634891254049,0.07936140675613142,0.08028690421101342,0.10273021749190189,0.09301249421564091,0.35053216103655715,0.04766311892642295,0.06432207311429894,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.0005457137810078986,0.9132947976878613,0.005780346820809248,0.0,0.017341040462427744,0.005780346820809248,0.005780346820809248,0.005780346820809248,0.011560693641618497,0.005780346820809248,0.028901734104046242,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.01634077040198535,0.11518708730741012,0.10198092443140132,0.08950843727072634,0.1012472487160675,0.10638297872340426,0.03888481291269259,0.04402054292002935,0.04768892149669846,0.0425531914893617,0.31254585473220836,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.02681894602585657,0.0933852140077821,0.10030263726761782,0.09165585819282317,0.09792477302204929,0.10376134889753567,0.048205793341980115,0.051232166018158234,0.06268914829226113,0.050799827064418504,0.30004323389537396,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.038504040794045985,0.07595666205624711,0.07261410788381743,0.12828492392807744,0.12701705855232825,0.11698939603503919,0.11837252189949285,0.11076532964499769,0.06131857999077916,0.0656984785615491,0.12298294144767173,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.010462464108863046,0.0913671481357071,0.03963721867651999,0.08632851864292912,0.08599261001007726,0.12059119919381928,0.03627813234800134,0.2720859926100101,0.15586160564326504,0.060127645280483706,0.013436345314074572,0.0030231776956667787,0.001007725898555593,0.007725898555592879,0.001007725898555593,0.025529056096741685,0.0
gcc,0.00016954283984256735,0.07142857142857142,0.0,0.0,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.020090732339598186,0.10140897293288839,0.09399332591768632,0.09566184649610679,0.09992584352984799,0.10622914349276974,0.04968483500185391,0.05024100852799407,0.04579162031887282,0.05042639970337412,0.30663700407860583,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.03898116426943226,0.07352312558775755,0.07189877746430709,0.12806702573309395,0.12712661366162264,0.11541420877147987,0.12062922116782081,0.1104556723946311,0.07275369752928101,0.06557236898350004,0.11455928870650595,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.010305923557690696,0.08821614583333333,0.039713541666666664,0.08821614583333333,0.08821614583333333,0.11946614583333333,0.0361328125,0.2766927083333333,0.154296875,0.05859375,0.013346354166666666,0.0029296875,0.0009765625,0.007486979166666667,0.0009765625,0.024739583333333332,0.0
icc,0.0005062746950331342,0.9217877094972067,0.00558659217877095,0.0,0.01675977653631285,0.00558659217877095,0.00558659217877095,0.00558659217877095,0.00558659217877095,0.00558659217877095,0.027932960893854747,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.010494732035881891,0.08930323846908735,0.03925417075564279,0.08701341184167484,0.08766764802093556,0.12103369316323193,0.038272816486751716,0.2741249591102388,0.15472685639515865,0.05920837422309454,0.012103369316323193,0.002944062806673209,0.0009813542688910696,0.007523716061498201,0.0009813542688910696,0.024860974811907098,0.0
gcc,0.00010990218705352236,0.11764705882352941,0.0,0.0,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.35294117647058826,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.010473715206635469,0.09158249158249158,0.03939393939393939,0.08653198653198653,0.08585858585858586,0.12087542087542087,0.03636363636363636,0.2723905723905724,0.1558922558922559,0.06026936026936027,0.012457912457912458,0.0030303030303030303,0.00101010101010101,0.007744107744107744,0.00101010101010101,0.02558922558922559,0.0
clang,0.010162196210172694,0.1046831955922865,0.09366391184573003,0.09400826446280992,0.10433884297520661,0.09538567493112948,0.060261707988980714,0.040633608815427,0.05612947658402204,0.05612947658402204,0.29476584022038566,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.027010349265678166,0.08926240208877284,0.10476501305483028,0.09546344647519582,0.09774804177545691,0.10133812010443864,0.04993472584856397,0.0527088772845953,0.06380548302872063,0.048302872062663184,0.2966710182767624,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.026256659481882143,0.09332042594385286,0.1004840271055179,0.09196515004840271,0.10009680542110358,0.10358180058083252,0.0484027105517909,0.05150048402710552,0.06098741529525654,0.05208131655372701,0.29757986447241047,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.010492491773012662,0.0913364674278039,0.039959704499664205,0.08629952988582941,0.08529214237743452,0.12055070517125588,0.03626595030221625,0.2719946272666219,0.15614506380120888,0.06044325050369376,0.013431833445265278,0.0030221625251846875,0.0010073875083948958,0.007723304231027535,0.0010073875083948958,0.02552048354600403,0.0
