label,nop_total,1B_R,2B_R,3B_R,4B_R,5B_R,6B_R,7B_R,8B_R,9B_R,10B_V,11B_V,12B_V,13B_V,14B_V,15B_V,OTHERS
gcc,0.03533672670321065,0.08310249307479224,0.08310249307479224,0.07756232686980609,0.13850415512465375,0.12465373961218837,0.11911357340720222,0.10803324099722991,0.07479224376731301,0.05263157894736842,0.13850415512465375,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.001873536299765808,0.1,0.05,0.05,0.15,0.2,0.1,0.05,0.05,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.021729583166256134,0.14586994727592267,0.03602811950790861,0.05711775043936731,0.050966608084358524,0.08172231985940245,0.05272407732864675,0.18980667838312829,0.17398945518453426,0.07469244288224956,0.03690685413005272,0.007908611599297012,0.0026362038664323375,0.020210896309314587,0.0026362038664323375,0.06678383128295255,0.0
icc,0.011314475873544094,0.7941176470588235,0.014705882352941176,0.0,0.04411764705882353,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.07352941176470588,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.03465691396725879,0.07035175879396985,0.08040201005025126,0.07035175879396985,0.16080402010050251,0.1407035175879397,0.06030150753768844,0.02512562814070352,0.04020100502512563,0.03015075376884422,0.32160804020100503,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.032307510906732693,0.07664233576642336,0.072992700729927,0.12043795620437957,0.15328467153284672,0.10218978102189781,0.12773722627737227,0.072992700729927,0.051094890510948905,0.051094890510948905,0.17153284671532848,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.04060587746468233,0.0827906976744186,0.07348837209302325,0.11162790697674418,0.12465116279069767,0.12372093023255815,0.1283720930232558,0.11162790697674418,0.053953488372093024,0.05674418604651163,0.1330232558139535,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.03338469440164355,0.07076923076923076,0.08923076923076922,0.09230769230769231,0.10461538461538461,0.12615384615384614,0.06769230769230769,0.009230769230769232,0.06153846153846154,0.055384615384615386,0.3230769230769231,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.017848036715961243,0.08163265306122448,0.08571428571428572,0.08979591836734693,0.12244897959183673,0.1346938775510204,0.061224489795918366,0.02040816326530612,0.053061224489795916,0.04081632653061224,0.31020408163265306,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.023523708389122305,0.16290480863591755,0.029440628066732092,0.0549558390578999,0.04317958783120707,0.06967615309126594,0.052011776251226695,0.1874386653581943,0.1717369970559372,0.07948969578017664,0.03729146221786065,0.008832188420019628,0.002944062806673209,0.022571148184494603,0.002944062806673209,0.0745829244357213,0.0
gcc,0.044343030994485645,0.0686106346483705,0.07547169811320754,0.12178387650085763,0.11578044596912522,0.11063464837049743,0.11234991423670669,0.10634648370497427,0.05660377358490566,0.07032590051457976,0.1620926243567753,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.0036748811067877215,0.058823529411764705,0.0,0.11764705882352941,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.0,0.058823529411764705,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.014147063661786478,0.813953488372093,0.0,0.011627906976744186,0.03488372093023256,0.046511627906976744,0.023255813953488372,0.0,0.011627906976744186,0.0,0.05813953488372093,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.020798042537172972,0.07692307692307693,0.08597285067873303,0.08597285067873303,0.14479638009049775,0.11312217194570136,0.05429864253393665,0.013574660633484163,0.05429864253393665,0.02262443438914027,0.34841628959276016,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.023872877862309336,0.2087912087912088,0.03610675039246468,0.054945054945054944,0.0423861852433281,0.06907378335949764,0.05180533751962323,0.17896389324960754,0.152276295133438,0.07535321821036106,0.03924646781789639,0.006279434850863423,0.0031397174254317113,0.02040816326530612,0.0015698587127158557,0.059654631083202514,0.0
gcc,0.03880701142408651,0.07415730337078652,0.060674157303370786,0.10337078651685393,0.13258426966292136,0.11685393258426967,0.12359550561797752,0.11685393258426967,0.07415730337078652,0.058426966292134834,0.1393258426966292,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.012428902464714557,0.5423728813559322,0.03389830508474576,0.01694915254237288,0.06779661016949153,0.05084745762711865,0.03389830508474576,0.06779661016949153,0.06779661016949153,0.03389830508474576,0.0847457627118644,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.007919990750375767,0.8832116788321168,0.014598540145985401,0.0,0.029197080291970802,0.0072992700729927005,0.0072992700729927005,0.0072992700729927005,0.0072992700729927005,0.0072992700729927005,0.0364963503649635,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.0008789277081960009,0.0625,0.0,0.125,0.1875,0.1875,0.125,0.0,0.0625,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.03864334672654219,0.09480122324159021,0.06422018348623854,0.10091743119266056,0.11926605504587157,0.11314984709480122,0.11314984709480122,0.10091743119266056,0.06116207951070336,0.06116207951070336,0.1712538226299694,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.018547699620262974,0.19220055710306408,0.034818941504178275,0.057103064066852366,0.04456824512534819,0.07799442896935933,0.04874651810584958,0.20334261838440112,0.15598885793871867,0.06824512534818941,0.036211699164345405,0.005571030640668524,0.002785515320334262,0.018105849582172703,0.001392757660167131,0.052924791086350974,0.0
icc,0.023750324711470663,0.2078125,0.0375,0.0578125,0.0421875,0.06875,0.0484375,0.175,0.1578125,0.075,0.0390625,0.00625,0.003125,0.0203125,0.0015625,0.059375,0.0
gcc,0.01225114854517611,0.8125,0.0,0.0125,0.0375,0.0375,0.025,0.0125,0.0125,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.00789014033608384,0.8702290076335878,0.022900763358778626,0.0,0.022900763358778626,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.04580152671755725,0.0,0.0,0.0,0.0,0.0,0.0
