label,nop_total,1B_R,2B_R,3B_R,4B_R,5B_R,6B_R,7B_R,8B_R,9B_R,10B_V,11B_V,12B_V,13B_V,14B_V,15B_V,OTHERS
clang,0.004252529935572573,0.04887218045112782,0.05639097744360902,0.07142857142857142,0.08834586466165413,0.06954887218045112,0.046992481203007516,0.06203007518796992,0.12030075187969924,0.08082706766917293,0.08270676691729323,0.05827067669172932,0.05451127819548872,0.06578947368421052,0.043233082706766915,0.05075187969924812,0.0
clang,0.0044004400440044,0.05,0.05,0.1,0.15,0.05,0.1,0.05,0.15,0.05,0.2,0.0,0.0,0.0,0.0,0.05,0.0
gcc,0.007159294298133469,0.9464285714285714,0.0,0.017857142857142856,0.008928571428571428,0.008928571428571428,0.0,0.0,0.008928571428571428,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.017598343685300208,0.09803921568627451,0.058823529411764705,0.1568627450980392,0.0784313725490196,0.13725490196078433,0.058823529411764705,0.0392156862745098,0.058823529411764705,0.0196078431372549,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.046181172291296625,0.07692307692307693,0.038461538461538464,0.19230769230769232,0.07692307692307693,0.0,0.15384615384615385,0.0,0.07692307692307693,0.11538461538461539,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0
gcc,0.04734073641145529,0.06172839506172839,0.04938271604938271,0.09876543209876543,0.16049382716049382,0.13580246913580246,0.08641975308641975,0.08641975308641975,0.08641975308641975,0.06172839506172839,0.1728395061728395,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.03425756186984418,0.12709030100334448,0.05016722408026756,0.1505016722408027,0.0903010033444816,0.11705685618729098,0.10033444816053512,0.05351170568561873,0.08361204013377926,0.07357859531772576,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.010106478974914275,0.8928571428571429,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.04559618897524983,0.07541241162608013,0.07462686567164178,0.12804399057344854,0.11154752553024352,0.12097407698350353,0.11861743912018853,0.10133542812254517,0.062058130400628436,0.05970149253731343,0.1476826394344069,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.03806964896364017,0.11640696608615948,0.08890925756186985,0.0925756186984418,0.10357470210815765,0.0999083409715857,0.05316223648029331,0.04857928505957837,0.05224564619615032,0.04857928505957837,0.29605866177818513,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.018729096989966554,0.07142857142857142,0.03571428571428571,0.14285714285714285,0.10714285714285714,0.14285714285714285,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.03808487486398259,0.07857142857142857,0.09285714285714286,0.11428571428571428,0.09285714285714286,0.10714285714285714,0.07857142857142857,0.02857142857142857,0.05714285714285714,0.03571428571428571,0.3142857142857143,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.035448686167575606,0.07692307692307693,0.07459207459207459,0.13752913752913754,0.1048951048951049,0.11421911421911422,0.12354312354312354,0.08857808857808858,0.08391608391608392,0.05128205128205128,0.1445221445221445,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.025923392612859097,0.06860158311345646,0.10026385224274406,0.09498680738786279,0.11081794195250659,0.11345646437994723,0.052770448548812667,0.047493403693931395,0.044854881266490766,0.0395778364116095,0.32717678100263853,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.03526574247099214,0.08502772643253234,0.06531115218730746,0.1361675908810844,0.11460258780036968,0.11768330252618607,0.11090573012939002,0.12014787430683918,0.07270486752926679,0.06839186691312385,0.10905730129390019,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.01678557627965279,0.05642897248736665,0.06260527793374508,0.06316676024705221,0.06681639528354857,0.05867490174059517,0.06035934868051657,0.06485120718697361,0.12717574396406514,0.06597417181358788,0.07916900617630544,0.06485120718697361,0.061482313307130824,0.061482313307130824,0.051937113980909604,0.055025266704098824,0.0
clang,0.02084008206457186,0.06217616580310881,0.08808290155440414,0.046632124352331605,0.046632124352331605,0.04145077720207254,0.08290155440414508,0.05699481865284974,0.12435233160621761,0.06217616580310881,0.13989637305699482,0.04145077720207254,0.03626943005181347,0.07253886010362694,0.046632124352331605,0.05181347150259067,0.0
gcc,0.002583979328165375,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.038470042007517136,0.05747126436781609,0.06321839080459771,0.09770114942528736,0.05172413793103448,0.06321839080459771,0.13218390804597702,0.08045977011494253,0.08045977011494253,0.07471264367816093,0.13793103448275862,0.022988505747126436,0.022988505747126436,0.040229885057471264,0.05172413793103448,0.022988505747126436,0.0
gcc,0.04158131176999102,0.06914433880726016,0.07000864304235091,0.14520311149524634,0.111495246326707,0.12791702679343128,0.11927398444252377,0.08556611927398444,0.07865168539325842,0.07087294727744166,0.12186689714779603,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.048031496062992125,0.09133489461358314,0.06323185011709602,0.12412177985948478,0.10772833723653395,0.1053864168618267,0.14285714285714285,0.10772833723653395,0.07259953161592506,0.06323185011709602,0.12177985948477751,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.028576193917829545,0.07003891050583658,0.06614785992217899,0.06420233463035019,0.07976653696498054,0.06614785992217899,0.06420233463035019,0.07198443579766536,0.11673151750972763,0.048638132295719845,0.0933852140077821,0.05058365758754864,0.038910505836575876,0.054474708171206226,0.054474708171206226,0.06031128404669261,0.0
gcc,0.04237353784181579,0.05850091407678245,0.08592321755027423,0.11151736745886655,0.11517367458866545,0.13528336380255943,0.12248628884826325,0.10237659963436929,0.06946983546617916,0.04570383912248629,0.15356489945155394,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.047095221725678926,0.072992700729927,0.051094890510948905,0.12408759124087591,0.10583941605839416,0.0948905109489051,0.14963503649635038,0.08394160583941605,0.06204379562043796,0.051094890510948905,0.20437956204379562,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gcc,0.03357228195937873,0.07651245551601424,0.051601423487544484,0.16725978647686832,0.12455516014234876,0.11921708185053381,0.10320284697508897,0.09608540925266904,0.08185053380782918,0.0498220640569395,0.1298932384341637,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.009140316205533596,0.984984984984985,0.0,0.0,0.003003003003003003,0.0,0.0,0.0,0.006006006006006006,0.0,0.006006006006006006,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.042256712359805146,0.08847184986595175,0.04825737265415549,0.1447721179624665,0.12064343163538874,0.12332439678284182,0.13941018766756033,0.0938337801608579,0.05630026809651475,0.021447721179624665,0.16353887399463807,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.021197471178876905,0.09649122807017543,0.05263157894736842,0.07017543859649122,0.07017543859649122,0.05263157894736842,0.10526315789473684,0.03508771929824561,0.10526315789473684,0.08771929824561403,0.14035087719298245,0.07894736842105263,0.02631578947368421,0.017543859649122806,0.043859649122807015,0.017543859649122806,0.0
gcc,4.0738175744490164e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.02862087326943557,0.06046511627906977,0.046511627906976744,0.10232558139534884,0.06976744186046512,0.05116279069767442,0.09302325581395349,0.018604651162790697,0.14418604651162792,0.037209302325581395,0.07441860465116279,0.06511627906976744,0.06976744186046512,0.04186046511627907,0.07441860465116279,0.05116279069767442,0.0
gcc,0.04224473889321902,0.07749077490774908,0.07380073800738007,0.13653136531365315,0.09225092250922509,0.14760147601476015,0.11808118081180811,0.08856088560885608,0.07011070110701106,0.03690036900369004,0.15867158671586715,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.030486486486486487,0.07092198581560284,0.0851063829787234,0.07092198581560284,0.09929078014184398,0.05673758865248227,0.05673758865248227,0.06382978723404255,0.10638297872340426,0.04964539007092199,0.1702127659574468,0.014184397163120567,0.0425531914893617,0.04964539007092199,0.02127659574468085,0.0425531914893617,0.0
clang,0.017838125665601706,0.1044776119402985,0.08955223880597014,0.07711442786069651,0.12437810945273632,0.07711442786069651,0.0472636815920398,0.05721393034825871,0.05970149253731343,0.05721393034825871,0.30597014925373134,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.046419098143236075,0.08095238095238096,0.05238095238095238,0.12380952380952381,0.09047619047619047,0.1,0.14285714285714285,0.09523809523809523,0.07142857142857142,0.03333333333333333,0.20952380952380953,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.012958367797077475,0.12056737588652482,0.05673758865248227,0.07092198581560284,0.07801418439716312,0.0425531914893617,0.10638297872340426,0.03546099290780142,0.07801418439716312,0.07801418439716312,0.1702127659574468,0.04964539007092199,0.03546099290780142,0.02127659574468085,0.028368794326241134,0.028368794326241134,0.0
clang,0.02677029360967185,0.12096774193548387,0.04838709677419355,0.07258064516129033,0.12096774193548387,0.08064516129032258,0.08064516129032258,0.03225806451612903,0.08064516129032258,0.08870967741935484,0.27419354838709675,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.00030372716622553914,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
